Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)
09:10:56 PM  1000      2804     70.00      1.00  gnome-shell
09:10:56 PM  1000      2901    109.00      4.00  ibus-daemon
09:10:56 PM  1000      3035     11.00      0.00  vmtoolsd
09:10:56 PM  1000      3123      7.00      0.00  ibus-extension-
09:10:56 PM  1000      3246     25.00      0.00  ibus-engine-sim
09:10:56 PM  1000      3928     34.00      6.00  gnome-terminal-
09:10:56 PM     0      5419      7.00      1.00  kworker/u515:3-events_unbound
09:10:56 PM     0      5817      2.00      0.00  kworker/u516:2-events_freezable_pwr_efficient
09:10:56 PM     0      5823      2.00      0.00  kworker/0:1-events
09:10:56 PM     0      5851      1.00      0.00  kworker/u513:2-events_unbound
09:10:56 PM     0      5886      4.00      0.00  kworker/2:2-events
09:10:56 PM     0      5916     16.00      0.00  kworker/3:0-events
09:10:56 PM     0      5993      1.00      0.00  kworker/u514:3-events_unbound
09:10:56 PM     0      6044     14.00      5.00  kworker/u515:0-events_unbound
09:10:56 PM     0      6135      6.00      1.00  kworker/u514:2-events_unbound
09:10:56 PM     0      6215      2.00      0.00  kworker/1:1-events
09:10:56 PM  1000      6224      1.00      1.00  pidstat
09:10:56 PM  1000      6225      1.00      0.00  tee

09:10:56 PM   UID       PID   cswch/s nvcswch/s  Command
09:10:57 PM     0        53      2.00      0.00  kcompactd0
09:10:57 PM     0       356      3.00      0.00  jbd2/sda2-8
09:10:57 PM     0       476      6.00      0.00  irq/16-vmwgfx
09:10:57 PM   990      1162      1.00      0.00  systemd-oomd
09:10:57 PM     0      1169     11.00      0.00  vmtoolsd
09:10:57 PM  1000      2804     24.00      0.00  gnome-shell
09:10:57 PM  1000      2901     43.00      1.00  ibus-daemon
09:10:57 PM  1000      3035     10.00      0.00  vmtoolsd
09:10:57 PM  1000      3123      2.00      0.00  ibus-extension-
09:10:57 PM  1000      3246      7.00      0.00  ibus-engine-sim
09:10:57 PM  1000      3928     16.00      1.00  gnome-terminal-
09:10:57 PM     0      5419      1.00      0.00  kworker/u515:3-events_unbound
09:10:57 PM     0      5823      2.00      0.00  kworker/0:1-events
09:10:57 PM     0      5851      1.00      0.00  kworker/u513:2-events_unbound
09:10:57 PM     0      5886      2.00      0.00  kworker/2:2-events
09:10:57 PM     0      5916      8.00      0.00  kworker/3:0-events
09:10:57 PM     0      5993      1.00      0.00  kworker/u514:3-events_unbound
09:10:57 PM     0      6044      7.00      2.00  kworker/u515:0-events_unbound
09:10:57 PM     0      6135      1.00      1.00  kworker/u514:2-events_unbound
09:10:57 PM     0      6215      4.00      0.00  kworker/1:1-events
09:10:57 PM  1000      6224      1.00      0.00  pidstat
09:10:57 PM  1000      6225      1.00      0.00  tee
