Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)

09:01:45 PM   UID       PID   cswch/s nvcswch/s  Command
09:01:46 PM     0        17     11.03      0.00  rcu_preempt
09:01:46 PM     0        26      0.74      0.00  ksoftirqd/1
09:01:46 PM     0        38      0.74      0.00  ksoftirqd/3
09:01:46 PM     0        53      1.47      0.00  kcompactd0
09:01:46 PM     0       476      2.21      0.00  irq/16-vmwgfx
09:01:46 PM     0       707      1.47      0.00  irq/57-vmw_vmci
09:01:46 PM     0       709      2.94      0.00  irq/59-vmw_vmci
09:01:46 PM   990      1162      0.74      0.00  systemd-oomd
09:01:46 PM     0      1169     10.29      1.47  vmtoolsd
09:01:46 PM   107      1267      0.74      0.00  avahi-daemon
09:01:46 PM     0      1562      0.74      0.00  NetworkManager
09:01:46 PM  1000      2804      7.35      2.21  gnome-shell
09:01:46 PM  1000      2901      4.41      0.00  ibus-daemon
09:01:46 PM  1000      3035     10.29      0.00  vmtoolsd
09:01:46 PM  1000      3246      0.74      0.00  ibus-engine-sim
09:01:46 PM  1000      3928      5.88      0.00  gnome-terminal-
09:01:46 PM     0      5073      4.41      0.00  kworker/1:0-events
09:01:46 PM     0      5823      0.74      0.00  kworker/0:1-events
09:01:46 PM     0      5886      2.21      0.00  kworker/2:2-events
09:01:46 PM     0      5901      1.47      0.00  kworker/u514:1-events_power_efficient
09:01:46 PM     0      5916      2.21      0.00  kworker/3:0-events
09:01:46 PM     0      6135      0.74      0.00  kworker/u514:2-flush-8:0
09:01:46 PM     0      6142      1.47      0.74  kworker/u513:3-events_unbound
09:01:46 PM  1000      6149      0.74      0.00  pidstat

09:01:46 PM   UID       PID   cswch/s nvcswch/s  Command
09:01:47 PM     0         1      1.00      0.00  systemd
09:01:47 PM     0        17     11.00      0.00  rcu_preempt
09:01:47 PM     0        20      1.00      0.00  migration/0
09:01:47 PM     0        25      1.00      0.00  migration/1
09:01:47 PM     0        31      1.00      0.00  migration/2
09:01:47 PM     0        37      1.00      0.00  migration/3
09:01:47 PM     0        53      2.00      0.00  kcompactd0
09:01:47 PM     0       476      2.00      0.00  irq/16-vmwgfx
09:01:47 PM   990      1162      1.00      0.00  systemd-oomd
09:01:47 PM     0      1169     11.00      0.00  vmtoolsd
09:01:47 PM   107      1267      1.00      0.00  avahi-daemon
09:01:47 PM     0      1562      1.00      0.00  NetworkManager
09:01:47 PM  1000      2804      4.00      4.00  gnome-shell
09:01:47 PM  1000      3035     10.00      0.00  vmtoolsd
09:01:47 PM  1000      3928      6.00      0.00  gnome-terminal-
09:01:47 PM     0      5073      7.00      0.00  kworker/1:0-events
09:01:47 PM     0      5823      3.00      0.00  kworker/0:1-events
09:01:47 PM     0      5886      1.00      0.00  kworker/2:2-events
09:01:47 PM     0      5916      1.00      0.00  kworker/3:0-mm_percpu_wq
09:01:47 PM     0      6135      3.00      0.00  kworker/u514:2-events_freezable_pwr_efficient
09:01:47 PM     0      6142      2.00      0.00  kworker/u513:3-events_unbound
09:01:47 PM  1000      6149      1.00      0.00  pidstat
