Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)
11:43:01 PM     0      7086    300.00     32.00  appstreamcli
11:43:01 PM  1000      7136      1.00     82.00  pidstat
11:43:01 PM  1000      7137      2.00     77.00  tee
11:43:01 PM     0      7139     70.00     39.00  tar
11:43:01 PM  1000      7140     65.00    990.00  a.exe

11:43:01 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:02 PM     0         1      1.00      0.00  systemd
11:43:02 PM     0         2      1.00      0.00  kthreadd
11:43:02 PM     0        17    165.00      0.00  rcu_preempt
11:43:02 PM     0        26      4.00      0.00  ksoftirqd/1
11:43:02 PM     0        32      2.00      0.00  ksoftirqd/2
11:43:02 PM     0        38      3.00      0.00  ksoftirqd/3
11:43:02 PM     0        53      2.00      0.00  kcompactd0
11:43:02 PM     0       409      1.00      2.00  systemd-journal
11:43:02 PM     0       476     61.00      0.00  irq/16-vmwgfx
11:43:02 PM   990      1162      1.00      0.00  systemd-oomd
11:43:02 PM     0      1169     11.00      0.00  vmtoolsd
11:43:02 PM     0      1563      1.00      0.00  wpa_supplicant
11:43:02 PM  1000      2804    177.00     57.00  gnome-shell
11:43:02 PM  1000      2901     25.00      0.00  ibus-daemon
11:43:02 PM  1000      3035     14.00      0.00  vmtoolsd
11:43:02 PM  1000      3123      3.00     14.00  ibus-extension-
11:43:02 PM  1000      3246      3.00      4.00  ibus-engine-sim
11:43:02 PM  1000      3335      5.00      5.00  Xwayland
11:43:02 PM  1000      3711      8.00      0.00  mutter-x11-fram
11:43:02 PM  1000      3762      2.00      0.00  gjs
11:43:02 PM  1000      3928   4317.00   1582.00  gnome-terminal-
11:43:02 PM     0      5823      5.00      0.00  kworker/0:1-mpt_poll_0
11:43:02 PM  1000      6036      3.00      1.00  bash
11:43:02 PM     0      6142   3364.00     82.00  kworker/u513:3-events_unbound
11:43:02 PM     0      6266    504.00     34.00  kworker/u513:0-events_unbound
11:43:02 PM     0      6491      8.00      0.00  kworker/3:3-events
11:43:02 PM     0      6496      1.00      0.00  kworker/3:1H-kblockd
11:43:02 PM     0      6544     10.00      2.00  kworker/u516:3-events_unbound
11:43:02 PM     0      6556      4.00      0.00  kworker/u520:2-ttm
11:43:02 PM     0      6590   1537.00     85.00  kworker/u516:2-events_unbound
11:43:02 PM     0      6593    538.00      0.00  kworker/u514:0-events_unbound
11:43:02 PM     0      6618     24.00     18.00  kworker/u520:5-ttm
11:43:02 PM     0      6677      3.00      0.00  kworker/1:0-events
11:43:02 PM     0      6688   1295.00     43.00  kworker/u516:1-events_unbound
11:43:02 PM     0      6700      4.00      0.00  kworker/2:0-events
11:43:02 PM     0      6728   1554.00      2.00  kworker/u514:2-events_unbound
11:43:02 PM     0      6801    345.00      1.00  kworker/u515:1-events_unbound
11:43:02 PM     0      6805     23.00      3.00  kworker/u520:0-ttm
11:43:02 PM     0      7076      1.00      0.00  packagekitd
11:43:02 PM     0      7086    168.00     34.00  appstreamcli
11:43:02 PM     0      7091      3.00      0.00  kworker/u513:1
11:43:02 PM  1000      7136      1.00      3.00  pidstat
11:43:02 PM  1000      7137      1.00      0.00  tee
11:43:02 PM     0      7145      3.00      1.00  kworker/u520:1-ttm

11:43:02 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:03 PM     0        16      1.00      0.00  ksoftirqd/0
11:43:03 PM     0        17     62.00      0.00  rcu_preempt
11:43:03 PM     0        53      2.00      0.00  kcompactd0
11:43:03 PM     0       409      2.00      1.00  systemd-journal
11:43:03 PM     0       476    136.00      0.00  irq/16-vmwgfx
11:43:03 PM   990      1162      1.00      0.00  systemd-oomd
11:43:03 PM     0      1169     10.00      0.00  vmtoolsd
11:43:03 PM     0      1297      1.00      0.00  cron
11:43:03 PM  1000      2519      2.00      2.00  dbus-daemon
11:43:03 PM  1000      2804    448.00     21.00  gnome-shell
11:43:03 PM  1000      2901     88.00      6.00  ibus-daemon
11:43:03 PM  1000      3035     11.00      0.00  vmtoolsd
11:43:03 PM  1000      3123     54.00      0.00  ibus-extension-
11:43:03 PM  1000      3246     21.00      4.00  ibus-engine-sim
11:43:03 PM  1000      3318      1.00      0.00  tracker-miner-f
11:43:03 PM  1000      3335      3.00      1.00  Xwayland
11:43:03 PM  1000      3711      1.00      0.00  mutter-x11-fram
11:43:03 PM  1000      3928    230.00     68.00  gnome-terminal-
11:43:03 PM     0      5568      1.00      0.00  kworker/u518:2-ttm
11:43:03 PM     0      5823      8.00      0.00  kworker/0:1-mm_percpu_wq
11:43:03 PM     0      5894      1.00      0.00  kworker/1:1H-kblockd
11:43:03 PM     0      6491      4.00      0.00  kworker/3:3-mm_percpu_wq
11:43:03 PM     0      6556      2.00      2.00  kworker/u520:2-ttm
11:43:03 PM     0      6590    159.00    174.00  kworker/u516:2-events_unbound
11:43:03 PM     0      6614      1.00      0.00  kworker/u518:3-ttm
11:43:03 PM     0      6677      5.00      0.00  kworker/1:0-mm_percpu_wq
11:43:03 PM     0      6700      2.00      0.00  kworker/2:0-mm_percpu_wq
11:43:03 PM     0      6728      2.00      0.00  kworker/u514:2-events_freezable_pwr_efficient
11:43:03 PM     0      6801      1.00      0.00  kworker/u515:1-events_unbound
11:43:03 PM     0      7086      0.00     13.00  appstreamcli
11:43:03 PM  1000      7136      1.00      3.00  pidstat
11:43:03 PM  1000      7137      1.00      0.00  tee
11:43:03 PM     0      7145      5.00      0.00  kworker/u520:1-ttm

11:43:03 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:04 PM     0        17     56.00      0.00  rcu_preempt
11:43:04 PM     0        20      1.00      0.00  migration/0
11:43:04 PM     0        25      1.00      0.00  migration/1
11:43:04 PM     0        31      1.00      0.00  migration/2
11:43:04 PM     0        32      1.00      0.00  ksoftirqd/2
11:43:04 PM     0        37      1.00      0.00  migration/3
11:43:04 PM     0        53      2.00      0.00  kcompactd0
11:43:04 PM     0       409      1.00      0.00  systemd-journal
11:43:04 PM     0       476     18.00      0.00  irq/16-vmwgfx
11:43:04 PM     0      1169     11.00      0.00  vmtoolsd
11:43:04 PM  1000      2519      2.00      0.00  dbus-daemon
11:43:04 PM  1000      2804    142.00     40.00  gnome-shell
11:43:04 PM  1000      2901     42.00      0.00  ibus-daemon
11:43:04 PM  1000      3035     10.00      0.00  vmtoolsd
11:43:04 PM  1000      3123     11.00      0.00  ibus-extension-
11:43:04 PM  1000      3246     12.00      1.00  ibus-engine-sim
11:43:04 PM  1000      3335      6.00      6.00  Xwayland
11:43:04 PM  1000      3762      4.00      0.00  gjs
11:43:04 PM  1000      3928     50.00     28.00  gnome-terminal-
11:43:04 PM     0      5823      2.00      0.00  kworker/0:1-events
11:43:04 PM     0      6491      2.00      0.00  kworker/3:3-events
11:43:04 PM     0      6556      5.00      1.00  kworker/u520:2-ttm
11:43:04 PM     0      6590     40.00     43.00  kworker/u516:2-events_unbound
11:43:04 PM     0      6677      6.00      0.00  kworker/1:0-events
11:43:04 PM     0      6700      1.00      0.00  kworker/2:0-mm_percpu_wq
11:43:04 PM     0      6728      1.00      0.00  kworker/u514:2-events_unbound
11:43:04 PM     0      6801     20.00      0.00  kworker/u515:1-events_unbound
11:43:04 PM     0      7026      2.00      0.00  kworker/u521:1-ttm
11:43:04 PM     0      7086      0.00      8.00  appstreamcli
11:43:04 PM  1000      7136      1.00      1.00  pidstat
11:43:04 PM  1000      7137      2.00     20.00  tee
11:43:04 PM     0      7145      2.00      0.00  kworker/u520:1-ttm

11:43:04 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:05 PM     0        17     39.00      0.00  rcu_preempt
11:43:05 PM     0        53      2.00      0.00  kcompactd0
11:43:05 PM     0       356      1.00      0.00  jbd2/sda2-8
11:43:05 PM     0       476     33.00      0.00  irq/16-vmwgfx
11:43:05 PM   990      1162      1.00      0.00  systemd-oomd
11:43:05 PM     0      1169     12.00      0.00  vmtoolsd
11:43:05 PM  1000      2519      1.00      0.00  dbus-daemon
11:43:05 PM  1000      2804    178.00     21.00  gnome-shell
11:43:05 PM  1000      2901     29.00      3.00  ibus-daemon
11:43:05 PM  1000      3035     10.00      0.00  vmtoolsd
11:43:05 PM  1000      3123      9.00      0.00  ibus-extension-
11:43:05 PM  1000      3246     12.00      0.00  ibus-engine-sim
11:43:05 PM  1000      3335      2.00      0.00  Xwayland
11:43:05 PM  1000      3762      1.00      0.00  gjs
11:43:05 PM  1000      3928     33.00      4.00  gnome-terminal-
11:43:05 PM     0      5823      2.00      0.00  kworker/0:1-events
11:43:05 PM     0      6491      2.00      0.00  kworker/3:3-mm_percpu_wq
11:43:05 PM     0      6590     45.00     49.00  kworker/u516:2-events_unbound
11:43:05 PM     0      6593      1.00      0.00  kworker/u514:0-flush-8:0
11:43:05 PM     0      6677      8.00      0.00  kworker/1:0-events
11:43:05 PM     0      6728      3.00      1.00  kworker/u514:2-flush-8:0
11:43:05 PM     0      6792      1.00      0.00  kworker/u514:3-events_power_efficient
11:43:05 PM     0      6801     69.00      0.00  kworker/u515:1-events_unbound
11:43:05 PM     0      7086      1.00      9.00  appstreamcli
11:43:05 PM  1000      7136      1.00      0.00  pidstat
11:43:05 PM  1000      7137      1.00     68.00  tee

11:43:05 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:06 PM     0        16      5.00      0.00  ksoftirqd/0
11:43:06 PM     0        17    133.00      0.00  rcu_preempt
11:43:06 PM     0        20      1.00      0.00  migration/0
11:43:06 PM     0        31      1.00      0.00  migration/2
11:43:06 PM     0        32      3.00      0.00  ksoftirqd/2
11:43:06 PM     0        38      5.00      1.00  ksoftirqd/3
11:43:06 PM     0        53      2.00      0.00  kcompactd0
11:43:06 PM     0       356      5.00      0.00  jbd2/sda2-8
11:43:06 PM     0       476    105.00      0.00  irq/16-vmwgfx
11:43:06 PM   990      1162      1.00      0.00  systemd-oomd
11:43:06 PM     0      1169     11.00      0.00  vmtoolsd
11:43:06 PM  1000      2519      2.00      0.00  dbus-daemon
11:43:06 PM  1000      2804    260.00    131.00  gnome-shell
11:43:06 PM  1000      2901    119.00      0.00  ibus-daemon
11:43:06 PM  1000      3035     10.00      0.00  vmtoolsd
11:43:06 PM  1000      3123     62.00      0.00  ibus-extension-
11:43:06 PM  1000      3246     28.00      1.00  ibus-engine-sim
11:43:06 PM  1000      3335      3.00      1.00  Xwayland
11:43:06 PM  1000      3711      2.00      0.00  mutter-x11-fram
11:43:06 PM  1000      3762      1.00      0.00  gjs
11:43:06 PM  1000      3928    200.00     12.00  gnome-terminal-
11:43:06 PM     0      5313      1.00      0.00  kworker/0:1H-kblockd
11:43:06 PM     0      5823      8.00      0.00  kworker/0:1-events
11:43:06 PM     0      6491      5.00      0.00  kworker/3:3-events
11:43:06 PM     0      6496      4.00      0.00  kworker/3:1H-kblockd
11:43:06 PM     0      6544      2.00      3.00  kworker/u516:3+events_unbound
11:43:06 PM     0      6561      3.00      0.00  kworker/u515:0-writeback
11:43:06 PM     0      6590    109.00    108.00  kworker/u516:2-events_power_efficient
11:43:06 PM     0      6677      8.00      0.00  kworker/1:0-mm_percpu_wq
11:43:06 PM     0      6700      5.00      0.00  kworker/2:0-events
11:43:06 PM     0      6728      3.00      9.00  kworker/u514:2-flush-8:0
11:43:06 PM     0      6792      1.00      0.00  kworker/u514:3-writeback
11:43:06 PM     0      6801      3.00      4.00  kworker/u515:1+flush-8:0
11:43:06 PM     0      7065      4.00      0.00  apt-get
11:43:06 PM  1000      7136      1.00      2.00  pidstat
11:43:06 PM  1000      7137      2.00      1.00  tee
11:43:06 PM     0      7150      2.00      1.00  sh
11:43:06 PM     0      7151     12.00      1.00  update-motd-upd
11:43:06 PM     0      7162      0.00      9.00  find

11:43:06 PM   UID       PID   cswch/s nvcswch/s  Command
11:43:07 PM     0        17    149.00      0.00  rcu_preempt
11:43:07 PM     0        32      3.00      0.00  ksoftirqd/2
11:43:07 PM     0        38     10.00      0.00  ksoftirqd/3
11:43:07 PM     0        53      2.00      0.00  kcompactd0
11:43:07 PM     0       476     11.00      0.00  irq/16-vmwgfx
11:43:07 PM   990      1162      1.00      0.00  systemd-oomd
11:43:07 PM     0      1169     10.00      0.00  vmtoolsd
11:43:07 PM  1000      2804     67.00      7.00  gnome-shell
11:43:07 PM  1000      2901    148.00      4.00  ibus-daemon
11:43:07 PM  1000      3035     11.00      0.00  vmtoolsd
11:43:07 PM  1000      3123     11.00      2.00  ibus-extension-
11:43:07 PM  1000      3246     19.00      0.00  ibus-engine-sim
