Linux 6.11.0-14-generic (osboxes) 	02/20/2025 	_x86_64_	(4 CPU)

09:09:10 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:11 PM     0        17     22.77      0.00  rcu_preempt
09:09:11 PM     0        53      1.98      0.00  kcompactd0
09:09:11 PM     0       476      1.98      0.00  irq/16-vmwgfx
09:09:11 PM     0       707      0.99      0.00  irq/57-vmw_vmci
09:09:11 PM     0       709      1.98      0.00  irq/59-vmw_vmci
09:09:11 PM   990      1162      0.99      0.00  systemd-oomd
09:09:11 PM     0      1169     10.89      0.00  vmtoolsd
09:09:11 PM  1000      2804    105.94      0.99  gnome-shell
09:09:11 PM  1000      3035     67.33      1.98  vmtoolsd
09:09:11 PM  1000      3335     75.25      0.00  Xwayland
09:09:11 PM  1000      3928      6.93      1.98  gnome-terminal-
09:09:11 PM     0      5073      4.95      0.00  kworker/1:0-mm_percpu_wq
09:09:11 PM     0      5817     25.74      2.97  kworker/u516:2-events_unbound
09:09:11 PM     0      5823      0.99      0.00  kworker/0:1-mm_percpu_wq
09:09:11 PM     0      5886      2.97      0.00  kworker/2:2-mm_percpu_wq
09:09:11 PM     0      5916      3.96      0.00  kworker/3:0-events
09:09:11 PM  1000      5928     19.80      0.00  gnome-text-edit
09:09:11 PM     0      6142      2.97      0.00  kworker/u513:3-events_unbound
09:09:11 PM  1000      6193      0.99      0.99  pidstat

09:09:11 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:12 PM     0         1      1.00      0.00  systemd
09:09:12 PM     0         2      3.00      0.00  kthreadd
09:09:12 PM     0        17     52.00      0.00  rcu_preempt
09:09:12 PM     0        20      1.00      0.00  migration/0
09:09:12 PM     0        25      1.00      0.00  migration/1
09:09:12 PM     0        31      1.00      0.00  migration/2
09:09:12 PM     0        32      2.00      0.00  ksoftirqd/2
09:09:12 PM     0        37      1.00      0.00  migration/3
09:09:12 PM     0        53      2.00      0.00  kcompactd0
09:09:12 PM     0       356      3.00      1.00  jbd2/sda2-8
09:09:12 PM     0       409      3.00      0.00  systemd-journal
09:09:12 PM     0       476     91.00      0.00  irq/16-vmwgfx
09:09:12 PM     0      1169     10.00      0.00  vmtoolsd
09:09:12 PM  1000      2519      3.00      0.00  dbus-daemon
09:09:12 PM  1000      2804    216.00    101.00  gnome-shell
09:09:12 PM  1000      2901     56.00      7.00  ibus-daemon
09:09:12 PM  1000      3035     32.00      0.00  vmtoolsd
09:09:12 PM  1000      3123     36.00      0.00  ibus-extension-
09:09:12 PM  1000      3246     37.00      4.00  ibus-engine-sim
09:09:12 PM  1000      3335      4.00      8.00  Xwayland
09:09:12 PM  1000      3524      3.00      0.00  xdg-desktop-por
09:09:12 PM  1000      3711      9.00      0.00  mutter-x11-fram
09:09:12 PM  1000      3762      5.00      0.00  gjs
09:09:12 PM  1000      3928     91.00      5.00  gnome-terminal-
09:09:12 PM     0      4232      1.00      0.00  kworker/2:1H-kblockd
09:09:12 PM     0      5073      4.00      0.00  kworker/1:0-events
09:09:12 PM     0      5568      1.00      0.00  kworker/u518:2-ttm
09:09:12 PM     0      5804      4.00      0.00  kworker/u515:1-writeback
09:09:12 PM     0      5817     42.00      7.00  kworker/u516:2-events_unbound
09:09:12 PM     0      5823      2.00      0.00  kworker/0:1-events
09:09:12 PM     0      5886      7.00      0.00  kworker/2:2-events
09:09:12 PM  1000      5928     61.00      7.00  gnome-text-edit
09:09:12 PM     0      5960      7.00      5.00  kworker/u520:1-ttm
09:09:12 PM     0      5980     29.00      3.00  kworker/u520:3-ttm
09:09:12 PM     0      6135      2.00      0.00  kworker/u514:2-events_unbound
09:09:12 PM     0      6142     34.00      9.00  kworker/u513:3-events_unbound
09:09:12 PM  1000      6193      1.00      0.00  pidstat
09:09:12 PM  1000      6194      1.00      0.00  tee
09:09:12 PM     0      6195     63.00      7.00  kworker/u520:0-ttm
09:09:12 PM     0      6196     47.00     23.00  kworker/u520:2-ttm
09:09:12 PM     0      6197     12.00      2.00  kworker/u520:4-ttm

09:09:12 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:13 PM     0        17     13.00      0.00  rcu_preempt
09:09:13 PM     0        53      2.00      0.00  kcompactd0
09:09:13 PM     0       409      1.00      0.00  systemd-journal
09:09:13 PM     0       476     46.00      0.00  irq/16-vmwgfx
09:09:13 PM     0       707      1.00      0.00  irq/57-vmw_vmci
09:09:13 PM     0       709      2.00      0.00  irq/59-vmw_vmci
09:09:13 PM   990      1162      1.00      0.00  systemd-oomd
09:09:13 PM     0      1169     11.00      0.00  vmtoolsd
09:09:13 PM  1000      2804    247.00      4.00  gnome-shell
09:09:13 PM  1000      2901     18.00      1.00  ibus-daemon
09:09:13 PM  1000      3035     10.00      0.00  vmtoolsd
09:09:13 PM  1000      3123      9.00      2.00  ibus-extension-
09:09:13 PM  1000      3246      6.00      0.00  ibus-engine-sim
09:09:13 PM  1000      3335      2.00      0.00  Xwayland
09:09:13 PM  1000      3762      3.00      0.00  gjs
09:09:13 PM  1000      3928      3.00      3.00  gnome-terminal-
09:09:13 PM     0      5073      1.00      0.00  kworker/1:0-mm_percpu_wq
09:09:13 PM     0      5817     26.00      6.00  kworker/u516:2-events_unbound
09:09:13 PM     0      5823      2.00      0.00  kworker/0:1-events
09:09:13 PM     0      5886      8.00      0.00  kworker/2:2-events
09:09:13 PM     0      5916      6.00      0.00  kworker/3:0-events
09:09:13 PM  1000      5928     62.00      0.00  gnome-text-edit
09:09:13 PM     0      6135     48.00     16.00  kworker/u514:2-events_unbound
09:09:13 PM  1000      6193      1.00      0.00  pidstat
09:09:13 PM  1000      6194      2.00      0.00  tee

09:09:13 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:14 PM     0        16      1.00      0.00  ksoftirqd/0
09:09:14 PM     0        17      6.00      0.00  rcu_preempt
09:09:14 PM     0        53      2.00      0.00  kcompactd0
09:09:14 PM     0       476     91.00      0.00  irq/16-vmwgfx
09:09:14 PM   990      1162      1.00      0.00  systemd-oomd
09:09:14 PM     0      1169     10.00      0.00  vmtoolsd
09:09:14 PM  1000      2804    339.00      0.00  gnome-shell
09:09:14 PM  1000      3035     10.00      0.00  vmtoolsd
09:09:14 PM  1000      3928      3.00      0.00  gnome-terminal-
09:09:14 PM     0      5073     12.00      0.00  kworker/1:0-events
09:09:14 PM     0      5804     21.00      8.00  kworker/u515:1-events_unbound
09:09:14 PM     0      5817     51.00     17.00  kworker/u516:2-events_unbound
09:09:14 PM     0      5823      1.00      0.00  kworker/0:1-events
09:09:14 PM     0      5886      5.00      0.00  kworker/2:2-mm_percpu_wq
09:09:14 PM     0      5916      1.00      0.00  kworker/3:0-events
09:09:14 PM     0      6135     21.00      6.00  kworker/u514:2-events_unbound
09:09:14 PM     0      6142      2.00      0.00  kworker/u513:3-events_freezable_pwr_efficient
09:09:14 PM  1000      6193      1.00      0.00  pidstat
09:09:14 PM  1000      6194      1.00      0.00  tee

09:09:14 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:15 PM     0        17     19.00      0.00  rcu_preempt
09:09:15 PM     0        53      2.00      0.00  kcompactd0
09:09:15 PM     0       476    125.00      0.00  irq/16-vmwgfx
09:09:15 PM     0       707      2.00      0.00  irq/57-vmw_vmci
09:09:15 PM     0       709      4.00      0.00  irq/59-vmw_vmci
09:09:15 PM   990      1162      1.00      0.00  systemd-oomd
09:09:15 PM     0      1169     14.00      0.00  vmtoolsd
09:09:15 PM  1000      2804    516.00      0.00  gnome-shell
09:09:15 PM  1000      2901     61.00      0.00  ibus-daemon
09:09:15 PM  1000      3035     10.00      0.00  vmtoolsd
09:09:15 PM  1000      3123     12.00      0.00  ibus-extension-
09:09:15 PM  1000      3246      5.00      0.00  ibus-engine-sim
09:09:15 PM  1000      3335      1.00      0.00  Xwayland
09:09:15 PM  1000      3928      3.00      0.00  gnome-terminal-
09:09:15 PM     0      5073      6.00      0.00  kworker/1:0-events
09:09:15 PM     0      5804     10.00      5.00  kworker/u515:1-events_unbound
09:09:15 PM     0      5817      4.00      0.00  kworker/u516:2-writeback
09:09:15 PM     0      5823      2.00      0.00  kworker/0:1-events
09:09:15 PM     0      5886      2.00      0.00  kworker/2:2-events
09:09:15 PM     0      5916     11.00      0.00  kworker/3:0-events
09:09:15 PM  1000      5928    250.00      0.00  gnome-text-edit
09:09:15 PM     0      5993      1.00      0.00  kworker/u514:3-events_power_efficient
09:09:15 PM     0      6135      1.00      1.00  kworker/u514:2-events_power_efficient
09:09:15 PM     0      6142    127.00     29.00  kworker/u513:3-events_unbound
09:09:15 PM  1000      6193      1.00      0.00  pidstat
09:09:15 PM  1000      6194      1.00      1.00  tee

09:09:15 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:16 PM     0        17     10.00      0.00  rcu_preempt
09:09:16 PM     0        20      1.00      0.00  migration/0
09:09:16 PM     0        25      1.00      0.00  migration/1
09:09:16 PM     0        31      1.00      0.00  migration/2
09:09:16 PM     0        37      1.00      0.00  migration/3
09:09:16 PM     0        53      2.00      0.00  kcompactd0
09:09:16 PM     0       476     10.00      0.00  irq/16-vmwgfx
09:09:16 PM     0       707      2.00      0.00  irq/57-vmw_vmci
09:09:16 PM     0       709      4.00      0.00  irq/59-vmw_vmci
09:09:16 PM   990      1162      1.00      0.00  systemd-oomd
09:09:16 PM     0      1169     13.00      0.00  vmtoolsd
09:09:16 PM     0      1563      1.00      0.00  wpa_supplicant
09:09:16 PM  1000      2804     81.00      0.00  gnome-shell
09:09:16 PM  1000      2901    174.00      2.00  ibus-daemon
09:09:16 PM  1000      3035     11.00      0.00  vmtoolsd
09:09:16 PM  1000      3123      8.00      0.00  ibus-extension-
09:09:16 PM  1000      3246     40.00      0.00  ibus-engine-sim
09:09:16 PM  1000      3928      3.00      0.00  gnome-terminal-
09:09:16 PM     0      5073      7.00      0.00  kworker/1:0-events
09:09:16 PM     0      5817      2.00      0.00  kworker/u516:2-ext4-rsv-conversion
09:09:16 PM     0      5823      2.00      0.00  kworker/0:1-events
09:09:16 PM     0      5886      2.00      0.00  kworker/2:2-events
09:09:16 PM     0      5894      1.00      0.00  kworker/1:1H-kblockd
09:09:16 PM     0      5916     16.00      0.00  kworker/3:0-events
09:09:16 PM  1000      5928    123.00      0.00  gnome-text-edit
09:09:16 PM     0      5993      3.00      0.00  kworker/u514:3-writeback
09:09:16 PM     0      6135      1.00      0.00  kworker/u514:2-flush-8:0
09:09:16 PM     0      6142     11.00      3.00  kworker/u513:3-events_unbound
09:09:16 PM  1000      6193      1.00      2.00  pidstat
09:09:16 PM  1000      6194      1.00      0.00  tee

09:09:16 PM   UID       PID   cswch/s nvcswch/s  Command
09:09:17 PM     0        17      7.00      0.00  rcu_preempt
09:09:17 PM     0        53      2.00      0.00  kcompactd0
09:09:17 PM     0       476      3.00      0.00  irq/16-vmwgfx
